Geography,Views,Watch time (hours),Average view duration
Total,10094469,726033.686,0:04:18
US,3747196,268772.6375,0:04:18
IN,935349,62195.3496,0:03:59
GB,570208,36441.2232,0:03:50
CA,491582,32227.0349,0:03:56
DE,245254,22386.4913,0:05:28
AU,210034,14275.7354,0:04:04
TR,161574,10518.8202,0:03:54
PK,112768,6740.7868,0:03:35
PH,106664,6754.8415,0:03:47
ZA,98825,8211.5674,0:04:59
IT,97811,7710.7936,0:04:43
MY,94747,6331.0321,0:04:00
FR,93443,6778.9219,0:04:21
ID,92138,6092.9382,0:03:58
NL,87973,7274.269,0:04:57
BR,83568,6431.9717,0:04:37
MX,70836,5024.1412,0:04:15
PL,70029,4251.8753,0:03:38
ES,63539,4359.0282,0:04:07
SE,61767,5204.9362,0:05:03
KR,60085,4894.1655,0:04:53
TH,58541,3594.4736,0:03:41
BD,55191,2647.3263,0:02:52
EG,52126,3279.5528,0:03:46
VN,50481,3051.5646,0:03:37
RU,50226,2889.2705,0:03:27
SG,48544,3622.4742,0:04:28
NG,44440,3682.5913,0:04:58
RO,43493,2741.4747,0:03:46
TW,43264,3188.546,0:04:25
GR,40740,2746.165,0:04:02
IL,39248,2929.6703,0:04:28
ET,38581,2914.0958,0:04:31
IE,38131,2950.7497,0:04:38
SA,37674,2528.2899,0:04:01
NZ,37208,2561.0936,0:04:07
DZ,36335,2631.7095,0:04:20
BE,35408,2547.8034,0:04:19
HK,35371,2767.6231,0:04:41
NO,34553,2775.873,0:04:49
JP,33741,2698.6952,0:04:47
DK,33483,2948.6997,0:05:17
KE,31554,2852.0986,0:05:25
AE,30432,2073.9026,0:04:05
IQ,28557,1577.1342,0:03:18
CZ,28517,1721.601,0:03:37
MA,26981,1710.5214,0:03:48
FI,25438,1902.5783,0:04:29
PT,25221,1712.3131,0:04:04
CH,24554,2037.8473,0:04:58
HU,23367,1375.0677,0:03:31
LK,23256,1372.7927,0:03:32
AT,20113,1699.5111,0:05:04
CO,17479,1192.1121,0:04:05
GH,15988,1359.0231,0:05:06
NP,15679,983.2782,0:03:45
UA,13634,796.6804,0:03:30
CL,10471,660.798,0:03:47
AR,10441,690.3974,0:03:58
RS,9636,656.9432,0:04:05
CN,8587,909.1035,0:06:21
HR,8181,597.3249,0:04:22
JO,6735,413.7573,0:03:41
BG,6610,414.9485,0:03:45
PE,6542,527.8692,0:04:50
SK,6440,379.1144,0:03:31
SI,5903,415.9569,0:04:13
TT,5023,265.3973,0:03:10
LT,4904,348.6662,0:04:15
PR,4064,252.2413,0:03:43
KH,3155,196.4104,0:03:44
JM,3058,186.0218,0:03:38
MM,3022,186.7895,0:03:42
UG,2948,305.7928,0:06:13
EC,2802,205.0144,0:04:23
ZW,2562,225.0262,0:05:16
TN,2360,173.8883,0:04:25
LB,2090,163.6959,0:04:41
IR,1601,100.1483,0:03:45
TZ,1591,131.8173,0:04:58
ZM,1382,119.163,0:05:10
QA,1309,82.057,0:03:45
RW,1240,105.2879,0:05:05
LY,1212,72.8846,0:03:36
KZ,1200,86.9783,0:04:20
OM,1185,81.2159,0:04:06
KW,1171,67.3375,0:03:27
CY,1099,91.319,0:04:59
BW,1074,107.5706,0:06:00
EE,993,69.2933,0:04:11
CM,886,82.9261,0:05:36
MU,849,61.4771,0:04:20
SY,771,54.97,0:04:16
BA,720,48.5861,0:04:02
FJ,619,61.3768,0:05:56
SD,591,49.2032,0:04:59
LV,590,48.0463,0:04:53
NA,570,51.549,0:05:25
BO,451,39.8469,0:05:18
BH,449,25.135,0:03:21
AL,448,22.0449,0:02:57
AZ,397,20.6534,0:03:07
GE,382,15.0908,0:02:22
PS,367,28.0853,0:04:35
AM,319,25.6684,0:04:49
CR,300,26.3636,0:05:16
BY,292,10.5602,0:02:10
MW,288,25.9793,0:05:24
VE,273,27.0802,0:05:57
MK,263,28.4322,0:06:29
BN,258,27.3705,0:06:21
IS,253,21.4739,0:05:05
GY,251,19.9879,0:04:46
BS,194,10.0336,0:03:06
MN,189,13.788,0:04:22
UZ,187,8.4385,0:02:42
DO,141,7.056,0:03:00
SL,134,9.118,0:04:04
LU,128,10.236,0:04:47
BB,125,3.7781,0:01:48
MT,123,10.7184,0:05:13
UY,121,7.4148,0:03:55
SN,117,5.9447,0:03:02
SR,115,11.2971,0:05:53
YE,113,2.5171,0:01:20
LS,85,4.3052,0:03:02
PA,84,10.6255,0:07:35
BF,75,9.5738,0:07:39
MG,67,5.7776,0:05:10
PG,65,3.9075,0:03:36
BJ,62,3.7488,0:03:37
LC,53,5.0335,0:05:41
CI,52,1.0893,0:01:15
AF,51,0.6016,0:00:42
SO,49,1.5131,0:01:51
MO,45,1.6193,0:02:09
SV,45,4.6258,0:06:10
PY,43,3.0914,0:04:18
LA,31,0.6168,0:01:11
MV,31,1.7859,0:03:27
KG,28,0.2641,0:00:33
NE,25,0.9226,0:02:12
BT,22,1.8357,0:05:00
CU,22,0.1829,0:00:29
GF,22,1.4431,0:03:56
GT,21,1.0569,0:03:01
HN,21,2.3637,0:06:45
TG,21,0.1623,0:00:27
GA,16,0.5881,0:02:12
GP,16,2.4055,0:09:01
TD,15,0.1511,0:00:36
MD,14,3.8374,0:16:26
GM,12,1.7233,0:08:36
MZ,12,1.6229,0:08:06
SB,12,0.2453,0:01:13
AX,11,0.9989,0:05:26
CD,11,0.1738,0:00:56
SC,11,1.1947,0:06:30
BZ,10,2.3516,0:14:06
CW,10,1.5742,0:09:26
HT,10,0.3828,0:02:17
MQ,10,1.2748,0:07:38
NI,10,0.5934,0:03:33
